"","X","point","bv","notebook","month","day","year","habtype","spp","round","region","area","impound","int","short","tall","pe","pcgrass","up","bg","water","wood","other","crop","central","north","east","south","west","averagewater","plant1","plant2","plant3","waterp","woodp","dead"
"1",1,"AV067","b",NA,NA,NA,2012,"ms","kira",2,"nc","slnwr","m4",0.05,85,0,NA,NA,0,0,5,0,10,0,36,35,35,39,23,33.6,"smartweed","millet","willow",1,0,NA
"2",2,"LBKIRA3","b",NA,NA,NA,2012,"ms","kira",3,"nc","slnwr","m4",0.04,97,0,NA,NA,0,0,3,0,0,0,9,8,14,8,9.5,9.7,"millet","smartweed","cocklebur",1,0,NA
"3",3,"LBKIRA4","b",NA,NA,NA,2012,"ms","kira",3,"nc","slnwr","m4",0.14,99,0,NA,NA,0,0,1,0,0,0,11,7,2,7,11,7.6,"millet","smartweed","spikerush",1,0,NA
"4",4,"NVVEG023","v",NA,NA,NA,2012,"ms",NA,3,"nw","nvca","ash",0,0,100,NA,NA,0,0,0,0,0,0,44,44,43,44,45,44,"smartweed","millet","grass",0,0,NA
"5",5,"NVVEG031","v",NA,NA,NA,2012,"ms",NA,3,"nw","nvca","ash",0.14,5,90,NA,NA,0,0,5,0,0,0,39,47,46,39,41,42.4,"smartweed","cattail","millet",1,0,NA
"6",6,"NVVEG024","v",NA,NA,NA,2012,"ms",NA,3,"nw","nvca","ash",0,0,100,NA,NA,0,0,0,0,0,0,36,40,39,41,37,38.6,"smartweed","grass","cattail",0,0,NA
"7",7,"NVVEG029","v",NA,NA,NA,2012,"ms",NA,3,"nw","nvca","ash",0.02,10,49,NA,NA,0,0,1,40,0,0,26,26,29,32,28,28.2,"willow","smartweed","cattail",1,1,NA
"8",8,"NVVEG030","v",NA,NA,NA,2012,"ms",NA,3,"nw","nvca","ash",0,5,60,NA,NA,0,0,0,35,0,0,26,27,27,28,26,26.8,"willow","smartweed","cattail",0,1,NA
"9",9,"NVVEG032","v",NA,NA,NA,2012,"ms",NA,3,"nw","nvca","ash",0,30,35,NA,NA,0,0,0,35,0,0,26,30,27,26,23,26.4,"smartweed","cattail","wood",0,1,NA
"10",10,"NVVEG022","v",NA,NA,NA,2012,"ms",NA,3,"nw","nvca","ash",0,0,70,NA,NA,15,0,0,15,0,0,20,15,18,23,17,18.6,"cattail","smartweed","river bulrush",0,1,NA
"11",11,"NVVEG033","v",NA,NA,NA,2012,"ms",NA,3,"nw","nvca","ash",0,5,20,NA,NA,0,0,0,75,0,0,13,15,18,13,14,14.6,"wood","willow","smartweed",0,1,NA
"12",12,"NVVEG028","v",NA,NA,NA,2012,"ms",NA,3,"nw","nvca","ash",0.13,15,25,NA,NA,30,0,5,25,0,0,11,7,10,13,10,10.2,"willow","cattail","spikerush",1,1,NA
"13",13,"NVVEG025","v",NA,NA,NA,2012,"ms",NA,3,"nw","nvca","ash",0,10,30,NA,NA,45,0,0,15,0,0,12,7,12,9,7,9.4,"cattail","spikerush","fleabane",0,1,NA
"14",14,"NVVEG035","v",NA,NA,NA,2012,"ms",NA,3,"nw","nvca","ash",0,10,55,NA,NA,20,0,0,15,0,0,4,2,8,6,5,5,"smartweed","river bulrush","grass",0,1,NA
"15",15,"NVVEG034","v",NA,NA,NA,2012,"ms",NA,3,"nw","nvca","ash",0,10,60,NA,NA,0,0,0,30,0,0,3,0,5,6,8,4.4,"smartweed","river bulrush","willow",0,1,NA
